Passengerid,Age,Fare,sibsp,Parch,Pclass,Embarked,2urvived,Sex_male
267,16.0,396.875,4,1,3,2.0,0,False
268,25.0,7.775,1,0,3,2.0,1,False
269,58.0,1534.625,0,1,1,2.0,1,True
270,35.0,1356.333,0,0,1,2.0,1,True
271,28.0,31.0,0,0,1,2.0,0,False
272,25.0,0.0,0,0,3,2.0,1,False
273,41.0,19.5,0,1,2,2.0,1,True
274,37.0,29.7,0,1,1,0.0,0,False
275,28.0,7.75,0,0,3,1.0,1,True
276,63.0,779.583,1,0,1,2.0,1,True
277,45.0,7.75,0,0,3,2.0,0,True
278,28.0,0.0,0,0,2,2.0,0,False
279,7.0,29.125,4,1,3,1.0,0,False
280,35.0,20.25,1,1,3,2.0,1,True
281,65.0,7.75,0,0,3,1.0,0,False
282,28.0,78.542,0,0,3,2.0,0,False
283,16.0,9.5,0,0,3,2.0,0,False
284,19.0,8.05,0,0,3,2.0,1,False
285,28.0,26.0,0,0,1,2.0,0,False
286,33.0,86.625,0,0,3,0.0,0,False
287,30.0,9.5,0,0,3,2.0,1,False
288,22.0,78.958,0,0,3,2.0,0,False
289,42.0,13.0,0,0,2,2.0,1,False
290,22.0,7.75,0,0,3,1.0,1,True
291,26.0,78.85,0,0,1,2.0,1,True
292,19.0,910.792,1,0,1,0.0,1,True
293,36.0,12.875,0,0,2,0.0,0,False
294,24.0,8.85,0,0,3,2.0,0,True
295,24.0,78.958,0,0,3,2.0,0,False
296,28.0,277.208,0,0,1,0.0,0,False
297,23.5,72.292,0,0,3,0.0,0,False
298,2.0,151.55,1,2,1,2.0,0,True
299,28.0,30.5,0,0,1,2.0,1,False
300,50.0,2475.208,0,1,1,0.0,1,True
301,28.0,7.75,0,0,3,1.0,1,True
302,28.0,23.25,2,0,3,1.0,1,False
303,19.0,0.0,0,0,3,2.0,0,False
304,28.0,12.35,0,0,2,1.0,1,True
305,28.0,8.05,0,0,3,2.0,0,False
306,0.92,151.55,1,2,1,2.0,1,False
307,28.0,1108.833,0,0,1,0.0,1,True
308,17.0,108.9,1,0,1,0.0,1,True
309,30.0,24.0,1,0,2,0.0,0,False
310,30.0,569.292,0,0,1,0.0,1,True
311,24.0,831.583,0,0,1,0.0,1,True
312,18.0,262.375,2,2,1,0.0,1,True
313,26.0,26.0,1,1,2,2.0,0,True
314,28.0,78.958,0,0,3,2.0,0,False
315,43.0,26.25,1,1,2,2.0,0,False
316,26.0,78.542,0,0,3,2.0,1,True
317,24.0,26.0,1,0,2,2.0,1,True
318,54.0,14.0,0,0,2,2.0,0,False
319,31.0,1648.667,0,2,1,2.0,1,True
320,40.0,134.5,1,1,1,0.0,1,True
321,22.0,7.25,0,0,3,2.0,0,False
322,27.0,78.958,0,0,3,2.0,0,False
323,30.0,12.35,0,0,2,1.0,1,True
324,22.0,29.0,1,1,2,2.0,1,True
325,28.0,69.55,8,2,3,2.0,0,False
326,36.0,1356.333,0,0,1,0.0,1,True
327,61.0,62.375,0,0,3,2.0,0,False
328,36.0,13.0,0,0,2,2.0,1,True
329,31.0,20.525,1,1,3,2.0,1,True
330,16.0,579.792,0,1,1,0.0,1,True
331,28.0,23.25,2,0,3,1.0,1,True
332,45.5,28.5,0,0,1,2.0,0,False
333,38.0,1534.625,0,1,1,2.0,0,False
334,16.0,18.0,2,0,3,2.0,0,False
335,28.0,133.65,1,0,1,2.0,1,True
336,28.0,78.958,0,0,3,2.0,0,False
337,29.0,66.6,1,0,1,2.0,0,False
338,41.0,134.5,0,0,1,0.0,1,True
339,45.0,8.05,0,0,3,2.0,1,False
340,45.0,35.5,0,0,1,2.0,0,False
341,2.0,26.0,1,1,2,2.0,1,False
342,24.0,263.0,3,2,1,2.0,1,True
343,28.0,13.0,0,0,2,2.0,0,False
344,25.0,13.0,0,0,2,2.0,0,False
345,36.0,13.0,0,0,2,2.0,0,False
346,24.0,13.0,0,0,2,2.0,1,True
347,40.0,13.0,0,0,2,2.0,1,True
348,28.0,16.1,1,0,3,2.0,1,True
349,3.0,15.9,1,1,3,2.0,1,False
350,42.0,86.625,0,0,3,2.0,0,False
351,23.0,9.225,0,0,3,2.0,0,False
352,28.0,35.0,0,0,1,2.0,0,False
353,15.0,72.292,1,1,3,0.0,0,False
354,25.0,17.8,1,0,3,2.0,0,False
355,28.0,7.225,0,0,3,0.0,0,False
356,28.0,9.5,0,0,3,2.0,0,False
357,22.0,55.0,0,1,1,2.0,1,True
358,38.0,13.0,0,0,2,2.0,0,True
359,28.0,78.792,0,0,3,1.0,1,True
360,28.0,78.792,0,0,3,1.0,1,True
361,40.0,27.9,1,4,3,2.0,0,False
362,29.0,277.208,1,0,2,0.0,0,False
363,45.0,144.542,0,1,3,0.0,0,True
364,35.0,7.05,0,0,3,2.0,0,False
365,28.0,15.5,1,0,3,1.0,0,False
366,30.0,7.25,0,0,3,2.0,0,False
367,60.0,75.25,1,0,1,0.0,1,True
368,28.0,72.292,0,0,3,0.0,1,True
369,28.0,7.75,0,0,3,1.0,1,True
370,24.0,69.3,0,0,1,0.0,1,True
371,25.0,554.417,1,0,1,0.0,1,False
372,18.0,64.958,1,0,3,2.0,0,False
373,19.0,8.05,0,0,3,2.0,0,False
374,22.0,1356.333,0,0,1,0.0,0,False
375,3.0,21.075,3,1,3,2.0,0,True
376,28.0,821.708,1,0,1,0.0,1,True
377,22.0,7.25,0,0,3,2.0,1,True
378,27.0,211.5,0,2,1,0.0,0,False
379,20.0,40.125,0,0,3,0.0,0,False
380,19.0,7.775,0,0,3,2.0,0,False
381,42.0,227.525,0,0,1,0.0,1,True
382,1.0,157.417,0,2,3,0.0,1,True
383,32.0,7.925,0,0,3,2.0,0,False
384,35.0,52.0,1,0,1,2.0,1,True
385,28.0,78.958,0,0,3,2.0,0,False
386,18.0,73.5,0,0,2,2.0,0,False
387,1.0,46.9,5,2,3,2.0,0,False
388,36.0,13.0,0,0,2,2.0,1,True
389,28.0,77.292,0,0,3,1.0,0,False
390,17.0,12.0,0,0,2,0.0,1,True
391,36.0,120.0,1,2,1,2.0,1,False
392,21.0,77.958,0,0,3,2.0,1,False
393,28.0,7.925,2,0,3,2.0,0,False
394,23.0,113.275,1,0,1,0.0,1,True
395,24.0,16.7,0,2,3,2.0,1,True
396,22.0,77.958,0,0,3,2.0,0,False
397,31.0,78.542,0,0,3,2.0,0,True
398,46.0,26.0,0,0,2,2.0,0,False
399,23.0,10.5,0,0,2,2.0,0,False
400,28.0,12.65,0,0,2,2.0,1,True
401,39.0,7.925,0,0,3,2.0,1,False
402,26.0,8.05,0,0,3,2.0,0,False
403,21.0,9.825,1,0,3,2.0,0,True
404,28.0,15.85,1,0,3,2.0,0,False
405,20.0,86.625,0,0,3,2.0,0,True
406,34.0,21.0,1,0,2,2.0,0,False
407,51.0,7.75,0,0,3,2.0,0,False
408,3.0,18.75,1,1,2,2.0,1,False
409,21.0,7.775,0,0,3,2.0,0,False
410,28.0,254.667,3,1,3,2.0,0,True
411,28.0,78.958,0,0,3,2.0,0,False
412,28.0,68.583,0,0,3,1.0,0,False
413,33.0,90.0,1,0,1,1.0,1,True
414,28.0,0.0,0,0,2,2.0,0,False
415,44.0,7.925,0,0,3,2.0,1,False
416,28.0,8.05,0,0,3,2.0,0,True
417,34.0,32.5,1,1,2,2.0,1,True
418,18.0,13.0,0,2,2,2.0,1,True
419,30.0,13.0,0,0,2,2.0,0,False
420,10.0,24.15,0,2,3,2.0,0,True
421,28.0,78.958,0,0,3,0.0,0,False
422,21.0,77.333,0,0,3,1.0,0,False
423,29.0,7.875,0,0,3,2.0,0,False
424,28.0,14.4,1,1,3,2.0,0,True
425,18.0,202.125,1,1,3,2.0,0,False
426,28.0,7.25,0,0,3,2.0,0,False
427,28.0,26.0,1,0,2,2.0,1,True
428,19.0,26.0,0,0,2,2.0,1,True
429,28.0,7.75,0,0,3,1.0,0,False
430,32.0,8.05,0,0,3,2.0,1,False
431,28.0,26.55,0,0,1,2.0,1,False
432,28.0,16.1,1,0,3,2.0,1,True
433,42.0,26.0,1,0,2,2.0,1,True
434,17.0,7.125,0,0,3,2.0,0,False
435,50.0,55.9,1,0,1,2.0,0,False
436,14.0,120.0,1,2,1,2.0,1,True
437,21.0,34.375,2,2,3,2.0,0,True
438,24.0,18.75,2,3,2,2.0,1,True
439,64.0,263.0,1,4,1,2.0,0,False
440,31.0,10.5,0,0,2,2.0,0,False
441,45.0,26.25,1,1,2,2.0,1,True
442,20.0,9.5,0,0,3,2.0,0,False
443,25.0,7.775,1,0,3,2.0,0,False
444,28.0,13.0,0,0,2,2.0,1,True
445,28.0,81.125,0,0,3,2.0,1,False
446,4.0,818.583,0,2,1,2.0,1,False
447,13.0,19.5,0,1,2,2.0,1,True
448,34.0,26.55,0,0,1,2.0,1,False
449,5.0,192.583,2,1,3,0.0,1,True
450,52.0,30.5,0,0,1,2.0,1,False
451,36.0,27.75,1,2,2,2.0,0,False
452,28.0,199.667,1,0,3,2.0,0,False
453,30.0,27.75,0,0,1,0.0,0,False
454,49.0,891.042,1,0,1,0.0,1,False
455,28.0,8.05,0,0,3,2.0,0,False
456,29.0,78.958,0,0,3,0.0,1,False
457,65.0,26.55,0,0,1,2.0,0,False
458,28.0,518.625,1,0,1,2.0,1,True
459,50.0,10.5,0,0,2,2.0,1,True
460,28.0,7.75,0,0,3,1.0,0,False
461,48.0,26.55,0,0,1,2.0,1,False
462,34.0,8.05,0,0,3,2.0,0,False
463,47.0,38.5,0,0,1,2.0,0,False
464,48.0,13.0,0,0,2,2.0,0,False
465,28.0,8.05,0,0,3,2.0,0,False
466,38.0,7.05,0,0,3,2.0,0,False
467,28.0,0.0,0,0,2,2.0,0,False
468,56.0,26.55,0,0,1,2.0,0,False
469,28.0,7.725,0,0,3,1.0,0,False
470,0.75,192.583,2,1,3,0.0,1,True
471,28.0,7.25,0,0,3,2.0,0,False
472,38.0,86.625,0,0,3,2.0,0,False
473,33.0,27.75,1,2,2,2.0,1,True
474,23.0,137.917,0,0,2,0.0,1,True
475,22.0,98.375,0,0,3,2.0,0,True
476,28.0,52.0,0,0,1,2.0,0,False
477,34.0,21.0,1,0,2,2.0,0,False
478,29.0,70.458,1,0,3,2.0,0,False
479,22.0,75.208,0,0,3,2.0,0,False
480,2.0,122.875,0,1,3,2.0,1,True
481,9.0,46.9,5,2,3,2.0,0,False
482,28.0,0.0,0,0,2,2.0,0,False
483,50.0,8.05,0,0,3,2.0,0,False
484,63.0,95.875,0,0,3,2.0,1,True
485,25.0,910.792,1,0,1,0.0,1,False
486,28.0,254.667,3,1,3,2.0,0,True
487,35.0,90.0,1,0,1,2.0,1,True
488,58.0,29.7,0,0,1,0.0,0,False
489,30.0,8.05,0,0,3,2.0,0,False
490,9.0,15.9,1,1,3,2.0,1,False
491,28.0,199.667,1,0,3,2.0,0,False
492,21.0,7.25,0,0,3,2.0,0,False
493,55.0,30.5,0,0,1,2.0,0,False
494,71.0,495.042,0,0,1,0.0,0,False
495,21.0,8.05,0,0,3,2.0,0,False
496,28.0,144.583,0,0,3,0.0,0,False
497,54.0,782.667,1,0,1,0.0,1,True
498,28.0,15.1,0,0,3,2.0,0,False
499,25.0,151.55,1,2,1,2.0,0,True
500,24.0,77.958,0,0,3,2.0,0,False
501,17.0,86.625,0,0,3,2.0,0,False
502,21.0,7.75,0,0,3,1.0,0,True
503,28.0,76.292,0,0,3,1.0,0,True
504,37.0,95.875,0,0,3,2.0,0,True
505,16.0,86.5,0,0,1,2.0,1,True
506,18.0,108.9,1,0,1,0.0,0,False
507,33.0,26.0,0,2,2,2.0,1,True
508,28.0,26.55,0,0,1,2.0,1,False
509,28.0,22.525,0,0,3,2.0,0,False
510,26.0,564.958,0,0,3,2.0,1,False
511,29.0,7.75,0,0,3,1.0,1,False
512,28.0,8.05,0,0,3,2.0,0,False
513,36.0,262.875,0,0,1,2.0,1,False
514,54.0,59.4,1,0,1,0.0,1,True
515,24.0,74.958,0,0,3,2.0,0,False
516,47.0,340.208,0,0,1,2.0,0,False
517,34.0,10.5,0,0,2,2.0,1,True
518,28.0,24.15,0,0,3,1.0,0,False
519,36.0,26.0,1,0,2,2.0,1,True
520,32.0,78.958,0,0,3,2.0,0,False
521,30.0,93.5,0,0,1,2.0,1,True
522,22.0,78.958,0,0,3,2.0,0,False
523,28.0,7.225,0,0,3,0.0,0,False
524,44.0,579.792,0,1,1,0.0,1,True
525,28.0,72.292,0,0,3,0.0,0,False
526,40.5,7.75,0,0,3,1.0,0,False
527,50.0,10.5,0,0,2,2.0,1,True
528,28.0,2217.792,0,0,1,2.0,0,False
529,39.0,7.925,0,0,3,2.0,0,False
530,23.0,11.5,2,1,2,2.0,0,False
531,2.0,26.0,1,1,2,2.0,1,True
532,28.0,72.292,0,0,3,0.0,0,False
533,17.0,72.292,1,1,3,0.0,0,False
534,28.0,223.583,0,2,3,0.0,1,True
535,30.0,86.625,0,0,3,2.0,0,True
536,7.0,26.25,0,2,2,2.0,1,True
537,45.0,26.55,0,0,1,2.0,0,False
538,30.0,106.425,0,0,1,0.0,1,True
539,28.0,14.5,0,0,3,2.0,0,False
540,22.0,49.5,0,2,1,0.0,1,True
541,36.0,71.0,0,2,1,2.0,1,True
542,9.0,31.275,4,2,3,2.0,0,True
543,11.0,31.275,4,2,3,2.0,0,True
544,32.0,26.0,1,0,2,2.0,1,False
545,50.0,106.425,1,0,1,0.0,0,False
546,64.0,26.0,0,0,1,2.0,0,False
547,19.0,26.0,1,0,2,2.0,1,True
548,28.0,138.625,0,0,2,0.0,1,False
549,33.0,20.525,1,1,3,2.0,0,False
550,8.0,36.75,1,1,2,2.0,1,False
551,17.0,1108.833,0,2,1,0.0,1,False
552,27.0,26.0,0,0,2,2.0,0,False
553,28.0,78.292,0,0,3,1.0,0,False
554,22.0,7.225,0,0,3,0.0,1,False
555,22.0,7.775,0,0,3,2.0,1,True
556,62.0,26.55,0,0,1,2.0,0,False
557,48.0,39.6,1,0,1,0.0,1,True
558,28.0,227.525,0,0,1,0.0,0,False
559,39.0,79.65,1,1,1,2.0,1,True
560,36.0,17.4,1,0,3,2.0,1,True
561,28.0,7.75,0,0,3,1.0,0,False
562,40.0,78.958,0,0,3,2.0,0,False
563,28.0,13.5,0,0,2,2.0,0,False
564,28.0,8.05,0,0,3,2.0,0,False
565,28.0,8.05,0,0,3,2.0,0,True
566,24.0,24.15,2,0,3,2.0,0,False
567,19.0,78.958,0,0,3,2.0,0,False
568,29.0,21.075,0,4,3,2.0,0,True
569,28.0,72.292,0,0,3,0.0,0,False
570,32.0,78.542,0,0,3,2.0,1,False
571,62.0,10.5,0,0,2,2.0,1,False
572,53.0,514.792,2,0,1,2.0,1,True
573,36.0,263.875,0,0,1,2.0,1,False
574,28.0,7.75,0,0,3,1.0,1,True
575,16.0,8.05,0,0,3,2.0,0,False
576,19.0,14.5,0,0,3,2.0,0,False
577,34.0,13.0,0,0,2,2.0,1,True
578,39.0,55.9,1,0,1,2.0,1,True
579,28.0,144.583,1,0,3,0.0,0,True
